dedupe_key,id,count_point_id,observed_at_utc,count_date,year,hour,holiday,day_kind,region_id,region,corridor_bucket,local_authority_id,road_name,road_category,road_type,road_bucket,direction_of_travel,latitude,longitude,all_motor_vehicles,all_hgvs,cars_and_taxis,lgvs,buses_and_coaches,pedal_cycles,two_wheeled_motor_vehicles,source_url,as_of_utc
1633|503|2023-06-05|17|W,1633,503,2023-06-05T17:00:00Z,2023-06-05,2023,17,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2871,74,2368,406,9,0,14,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1634|503|2023-06-05|10|E,1634,503,2023-06-05T10:00:00Z,2023-06-05,2023,10,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2324,210,1680,413,9,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1635|503|2023-06-05|18|E,1635,503,2023-06-05T18:00:00Z,2023-06-05,2023,18,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,1669,67,1351,244,3,0,4,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1636|503|2023-06-05|9|E,1636,503,2023-06-05T09:00:00Z,2023-06-05,2023,9,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2220,192,1543,463,10,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1637|503|2023-06-05|14|W,1637,503,2023-06-05T14:00:00Z,2023-06-05,2023,14,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2320,135,1798,369,5,0,13,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1638|503|2023-06-05|7|W,1638,503,2023-06-05T07:00:00Z,2023-06-05,2023,7,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2318,192,1380,728,9,0,9,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1639|503|2023-06-05|9|W,1639,503,2023-06-05T09:00:00Z,2023-06-05,2023,9,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2001,190,1195,595,11,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1640|503|2023-06-05|15|E,1640,503,2023-06-05T15:00:00Z,2023-06-05,2023,15,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2452,166,1685,584,5,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1641|503|2023-06-05|17|E,1641,503,2023-06-05T17:00:00Z,2023-06-05,2023,17,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2529,79,1973,456,5,0,16,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1642|503|2023-06-05|11|W,1642,503,2023-06-05T11:00:00Z,2023-06-05,2023,11,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2065,164,1441,446,8,0,6,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1643|503|2023-06-05|7|E,1643,503,2023-06-05T07:00:00Z,2023-06-05,2023,7,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,3296,125,2444,696,12,0,19,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1644|503|2023-06-05|16|W,1644,503,2023-06-05T16:00:00Z,2023-06-05,2023,16,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,3087,114,2357,583,9,0,24,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1645|503|2023-06-05|14|E,1645,503,2023-06-05T14:00:00Z,2023-06-05,2023,14,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2319,190,1581,510,11,0,27,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1646|503|2023-06-05|15|W,1646,503,2023-06-05T15:00:00Z,2023-06-05,2023,15,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2653,151,2009,470,10,0,13,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1647|503|2023-06-05|8|E,1647,503,2023-06-05T08:00:00Z,2023-06-05,2023,8,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,3107,150,2357,588,5,0,7,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1648|503|2023-06-05|12|W,1648,503,2023-06-05T12:00:00Z,2023-06-05,2023,12,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2130,169,1550,395,6,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1649|503|2023-06-05|13|W,1649,503,2023-06-05T13:00:00Z,2023-06-05,2023,13,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2041,177,1488,359,5,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1650|503|2023-06-05|16|E,1650,503,2023-06-05T16:00:00Z,2023-06-05,2023,16,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2702,126,1911,645,9,0,11,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1651|503|2023-06-05|8|W,1651,503,2023-06-05T08:00:00Z,2023-06-05,2023,8,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,2468,194,1526,736,4,0,8,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1652|503|2023-06-05|10|W,1652,503,2023-06-05T10:00:00Z,2023-06-05,2023,10,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,1904,176,1266,440,12,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1653|503|2023-06-05|18|W,1653,503,2023-06-05T18:00:00Z,2023-06-05,2023,18,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,W,51.6753822,-3.9813200,1830,47,1532,240,2,0,9,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1654|503|2023-06-05|12|E,1654,503,2023-06-05T12:00:00Z,2023-06-05,2023,12,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2345,200,1689,437,6,0,13,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1655|503|2023-06-05|13|E,1655,503,2023-06-05T13:00:00Z,2023-06-05,2023,13,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2251,174,1608,459,5,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
1656|503|2023-06-05|11|E,1656,503,2023-06-05T11:00:00Z,2023-06-05,2023,11,0,weekday,4,east_of_england,south_england,8,M4,TM,Major,motorway_dominant,E,51.6753822,-3.9813200,2363,181,1722,446,2,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4393|525|2023-06-14|7|E,4393,525,2023-06-14T07:00:00Z,2023-06-14,2023,7,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1877,130,1340,384,14,0,9,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4394|525|2023-06-14|9|W,4394,525,2023-06-14T09:00:00Z,2023-06-14,2023,9,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1912,145,1340,410,9,0,8,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4395|525|2023-06-14|10|E,4395,525,2023-06-14T10:00:00Z,2023-06-14,2023,10,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1589,155,1098,316,5,0,15,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4396|525|2023-06-14|16|W,4396,525,2023-06-14T16:00:00Z,2023-06-14,2023,16,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,2345,111,1812,403,7,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4397|525|2023-06-14|13|W,4397,525,2023-06-14T13:00:00Z,2023-06-14,2023,13,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1678,127,1274,259,2,0,16,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4398|525|2023-06-14|13|E,4398,525,2023-06-14T13:00:00Z,2023-06-14,2023,13,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1774,158,1278,318,7,0,13,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4399|525|2023-06-14|15|E,4399,525,2023-06-14T15:00:00Z,2023-06-14,2023,15,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,2045,95,1545,388,5,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4400|525|2023-06-14|12|E,4400,525,2023-06-14T12:00:00Z,2023-06-14,2023,12,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1663,178,1161,304,2,0,18,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4401|525|2023-06-14|10|W,4401,525,2023-06-14T10:00:00Z,2023-06-14,2023,10,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,2131,146,1640,308,21,0,16,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4402|525|2023-06-14|11|E,4402,525,2023-06-14T11:00:00Z,2023-06-14,2023,11,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1504,163,1088,239,4,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4403|525|2023-06-14|16|E,4403,525,2023-06-14T16:00:00Z,2023-06-14,2023,16,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,2255,63,1729,423,18,0,22,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4404|525|2023-06-14|17|W,4404,525,2023-06-14T17:00:00Z,2023-06-14,2023,17,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,2164,62,1869,218,6,0,9,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4405|525|2023-06-14|8|W,4405,525,2023-06-14T08:00:00Z,2023-06-14,2023,8,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,2348,139,1650,537,10,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4406|525|2023-06-14|18|W,4406,525,2023-06-14T18:00:00Z,2023-06-14,2023,18,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1464,67,1246,126,9,0,16,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4407|525|2023-06-14|17|E,4407,525,2023-06-14T17:00:00Z,2023-06-14,2023,17,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,2239,56,1828,319,9,0,27,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4408|525|2023-06-14|15|W,4408,525,2023-06-14T15:00:00Z,2023-06-14,2023,15,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1858,95,1478,266,3,0,16,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4409|525|2023-06-14|14|E,4409,525,2023-06-14T14:00:00Z,2023-06-14,2023,14,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1888,124,1365,361,18,0,20,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4410|525|2023-06-14|12|W,4410,525,2023-06-14T12:00:00Z,2023-06-14,2023,12,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1947,152,1513,265,7,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4411|525|2023-06-14|14|W,4411,525,2023-06-14T14:00:00Z,2023-06-14,2023,14,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1722,119,1308,271,5,0,19,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4412|525|2023-06-14|11|W,4412,525,2023-06-14T11:00:00Z,2023-06-14,2023,11,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,2285,159,1788,296,14,0,28,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4413|525|2023-06-14|9|E,4413,525,2023-06-14T09:00:00Z,2023-06-14,2023,9,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1541,168,1076,278,8,0,11,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4414|525|2023-06-14|7|W,4414,525,2023-06-14T07:00:00Z,2023-06-14,2023,7,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,W,53.2918415,-3.6349611,1575,155,929,480,1,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4415|525|2023-06-14|8|E,4415,525,2023-06-14T08:00:00Z,2023-06-14,2023,8,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,2307,144,1805,346,5,0,7,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
4416|525|2023-06-14|18|E,4416,525,2023-06-14T18:00:00Z,2023-06-14,2023,18,0,weekday,4,east_of_england,south_england,11,A55,TA,Major,trunk_heavy,E,53.2918415,-3.6349611,1395,52,1150,175,6,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5041|527|2023-10-06|14|W,5041,527,2023-10-06T14:00:00Z,2023-10-06,2023,14,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1191,69,940,168,2,0,12,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5042|527|2023-10-06|15|W,5042,527,2023-10-06T15:00:00Z,2023-10-06,2023,15,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1109,37,888,180,2,0,2,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5043|527|2023-10-06|15|E,5043,527,2023-10-06T15:00:00Z,2023-10-06,2023,15,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1856,70,1509,268,3,0,6,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5044|527|2023-10-06|18|W,5044,527,2023-10-06T18:00:00Z,2023-10-06,2023,18,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,856,21,765,69,0,0,1,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5045|527|2023-10-06|16|E,5045,527,2023-10-06T16:00:00Z,2023-10-06,2023,16,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,2045,49,1698,287,4,0,7,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5046|527|2023-10-06|11|E,5046,527,2023-10-06T11:00:00Z,2023-10-06,2023,11,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1144,77,892,165,2,0,8,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5047|527|2023-10-06|13|W,5047,527,2023-10-06T13:00:00Z,2023-10-06,2023,13,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1091,94,822,168,2,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5048|527|2023-10-06|9|W,5048,527,2023-10-06T09:00:00Z,2023-10-06,2023,9,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1158,79,867,209,1,0,2,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5049|527|2023-10-06|8|W,5049,527,2023-10-06T08:00:00Z,2023-10-06,2023,8,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1579,82,1184,308,3,0,2,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5050|527|2023-10-06|14|E,5050,527,2023-10-06T14:00:00Z,2023-10-06,2023,14,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1621,88,1261,261,2,0,9,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5051|527|2023-10-06|10|W,5051,527,2023-10-06T10:00:00Z,2023-10-06,2023,10,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1147,82,909,151,2,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5052|527|2023-10-06|11|W,5052,527,2023-10-06T11:00:00Z,2023-10-06,2023,11,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1218,83,914,216,1,0,4,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5053|527|2023-10-06|7|W,5053,527,2023-10-06T07:00:00Z,2023-10-06,2023,7,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1437,72,1084,276,4,0,1,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5054|527|2023-10-06|13|E,5054,527,2023-10-06T13:00:00Z,2023-10-06,2023,13,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1567,82,1277,202,1,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5055|527|2023-10-06|18|E,5055,527,2023-10-06T18:00:00Z,2023-10-06,2023,18,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1485,24,1302,151,4,0,4,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5056|527|2023-10-06|9|E,5056,527,2023-10-06T09:00:00Z,2023-10-06,2023,9,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,795,92,551,141,8,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5057|527|2023-10-06|17|E,5057,527,2023-10-06T17:00:00Z,2023-10-06,2023,17,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1939,38,1695,202,1,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5058|527|2023-10-06|12|W,5058,527,2023-10-06T12:00:00Z,2023-10-06,2023,12,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1291,55,1016,213,2,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5059|527|2023-10-06|12|E,5059,527,2023-10-06T12:00:00Z,2023-10-06,2023,12,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,1369,86,1084,193,1,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5060|527|2023-10-06|8|E,5060,527,2023-10-06T08:00:00Z,2023-10-06,2023,8,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,984,70,763,148,2,0,1,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5061|527|2023-10-06|17|W,5061,527,2023-10-06T17:00:00Z,2023-10-06,2023,17,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1212,26,1044,137,2,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5062|527|2023-10-06|7|E,5062,527,2023-10-06T07:00:00Z,2023-10-06,2023,7,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,815,70,581,162,1,0,1,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5063|527|2023-10-06|16|W,5063,527,2023-10-06T16:00:00Z,2023-10-06,2023,16,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,W,53.1641085,-3.0273826,1189,32,996,149,5,0,7,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
5064|527|2023-10-06|10|E,5064,527,2023-10-06T10:00:00Z,2023-10-06,2023,10,0,weekday,4,east_of_england,south_england,20,A55,TA,Major,trunk_heavy,E,53.1641085,-3.0273826,957,96,729,123,4,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6697|541|2023-06-30|17|N,6697,541,2023-06-30T17:00:00Z,2023-06-30,2023,17,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,3217,25,2761,404,9,0,18,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6698|541|2023-06-30|8|S,6698,541,2023-06-30T08:00:00Z,2023-06-30,2023,8,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2673,140,1915,597,10,0,11,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6699|541|2023-06-30|9|N,6699,541,2023-06-30T09:00:00Z,2023-06-30,2023,9,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,1927,141,1342,430,13,0,1,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6700|541|2023-06-30|11|N,6700,541,2023-06-30T11:00:00Z,2023-06-30,2023,11,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,2199,145,1540,501,8,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6701|541|2023-06-30|18|N,6701,541,2023-06-30T18:00:00Z,2023-06-30,2023,18,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,2517,18,2199,291,6,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6702|541|2023-06-30|12|S,6702,541,2023-06-30T12:00:00Z,2023-06-30,2023,12,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2456,139,1920,385,7,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6703|541|2023-06-30|7|S,6703,541,2023-06-30T07:00:00Z,2023-06-30,2023,7,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,3408,129,2318,936,11,0,14,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6704|541|2023-06-30|8|N,6704,541,2023-06-30T08:00:00Z,2023-06-30,2023,8,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,2684,163,2014,488,15,0,4,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6705|541|2023-06-30|13|S,6705,541,2023-06-30T13:00:00Z,2023-06-30,2023,13,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2286,111,1773,384,8,0,10,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6706|541|2023-06-30|10|S,6706,541,2023-06-30T10:00:00Z,2023-06-30,2023,10,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2380,158,1708,500,11,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6707|541|2023-06-30|9|S,6707,541,2023-06-30T09:00:00Z,2023-06-30,2023,9,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2539,157,1816,547,14,0,5,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6708|541|2023-06-30|18|S,6708,541,2023-06-30T18:00:00Z,2023-06-30,2023,18,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2147,27,1951,159,7,0,3,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6709|541|2023-06-30|16|S,6709,541,2023-06-30T16:00:00Z,2023-06-30,2023,16,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2789,56,2383,336,8,0,6,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6710|541|2023-06-30|13|N,6710,541,2023-06-30T13:00:00Z,2023-06-30,2023,13,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,2869,152,1995,696,15,0,11,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6711|541|2023-06-30|15|S,6711,541,2023-06-30T15:00:00Z,2023-06-30,2023,15,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,S,51.5472807,-3.2668621,2738,82,2192,445,8,0,11,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
6712|541|2023-06-30|14|N,6712,541,2023-06-30T14:00:00Z,2023-06-30,2023,14,0,weekday,4,east_of_england,south_england,22,A470,TA,Major,trunk_heavy,N,51.5472807,-3.2668621,3190,132,2248,783,14,0,13,https://roadtraffic.dft.gov.uk/api/raw-counts,2026-02-24T00:19:13Z
